Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Cruise]	Term Source REF	Term Accession Number	Factor Value[Station]	Term Source REF	Term Accession Number	Factor Value[Cast]	Term Source REF	Term Accession Number	Factor Value[Depth]	Unit	Term Source REF	Term Accession Number	Factor Value[Latitude]	Unit	Term Source REF	Term Accession Number	Factor Value[Longitude]	Unit	Term Source REF	Term Accession Number	Factor Value[Sample group]	Term Source REF	Term Accession Number
KO11	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO11	KN210-04			7			24			753	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-22.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-33	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO12	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO12	KN210-04			7			18			2500	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-22.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-33	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO13	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO13	KN210-04			7			18			4512	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-22.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-33	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO14	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO14	KN210-04			15			46			5	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-2.7	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-28.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO15	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO15	KN210-04			15			46			63	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-2.7	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-28.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO16	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO16	KN210-04			15			47			250	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-2.7	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-28.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO17	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO17	KN210-04			15			47			750	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-2.7	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-28.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO18	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO18	KN210-04			15			43			2500	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-2.7	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-28.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO19	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO19	KN210-04			15			43			5009	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-2.7	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-28.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO20	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO20	KN210-04			23			72			5	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	9.75	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-55.3	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO21	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO21	KN210-04			23			74			76	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	9.75	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-55.3	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO22	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO22	KN210-04			23			69			68	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	9.75	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-55.3	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO23	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO23	KN210-04			23			69			251	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	9.75	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-55.3	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO24	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO24	KN210-04			23			74			248	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	9.75	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-55.3	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO25	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO25	KN210-04			23			69			562	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	9.75	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-55.3	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO26	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO26	KN210-04			23			71			930	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	9.75	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-55.3	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO27	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO27	KN210-04			23			71			2500	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	9.75	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-55.3	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO28	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO28	KN210-04			23			71			3770	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	9.75	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-55.3	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO29	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO29	KN210-04			5			16			4	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-28.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-38.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO30	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO30	KN210-04			5			13			6	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-28.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-38.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO31	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO31	KN210-04			5			16			105	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-28.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-38.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO32	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO32	KN210-04			5			15			105	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-28.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-38.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO33	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO33	KN210-04			5			13			175	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-28.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-38.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO34	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO34	KN210-04			5			13			248	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-28.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-38.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO35	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO35	KN210-04			5			15			401	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-28.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-38.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO36	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO36	KN210-04			5			15			902	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-28.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-38.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO37	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO37	KN210-04			5			15			2504	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-28.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-38.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO38	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO38	KN210-04			5			15			4345	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-28.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-38.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO39	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO39	KN210-04			9			30			5	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-13.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-27.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO40	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO40	KN210-04			9			29			100	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-13.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-27.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO41	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO41	KN210-04			9			30			140	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-13.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-27.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO42	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO42	KN210-04			9			29			253	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-13.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-27.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO43	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO43	KN210-04			9			29			405	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-13.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-27.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO44	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO44	KN210-04			9			29			799	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-13.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-27.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO45	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO45	KN210-04			9			28			2501	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-13.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-27.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO46	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO46	KN210-04			9			28			5533	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-13.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-27.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO47	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO47	KN210-04			19			56			6	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	5.9	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-41.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO48	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO48	KN210-04			19			56			86	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	5.9	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-41.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO49	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO49	KN210-04			19			56			252	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	5.9	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-41.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO50	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO50	KN210-04			19			56			781	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	5.9	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-41.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO51	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO51	KN210-04			19			56			1800	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	5.9	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-41.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO52	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO52	KN210-04			19			56			2500	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	5.9	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-41.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO53	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO53	KN210-04			19			56			3501	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	5.9	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-41.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO54	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO54	KN210-04			19			56			4678	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	5.9	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-41.25	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
DDn521o	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	DDn521o	KN210-04			12			36			6	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-5.7	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-25.996	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
DDn508o	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	DDn508o	KN210-04			12			36			96	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-5.7	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-25.996	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
DDn730o	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	DDn730o	KN210-04			16			48			5	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	0.002	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-33.498	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
DDn727o	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	DDn727o	KN210-04			16			48			65	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	0.002	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-33.498	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
DDn910o	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	DDn910o	KN210-04			21			62			5	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	6.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-48	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
DDn904o	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	DDn904o	KN210-04			21			62			96	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	6.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-48	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
AO1	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AO1	AE1319			4			7			1	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	55	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-48.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
AO2	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AO2	AE1319			4			7			35	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	55	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-48.98	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
